domain	crop	chosen_width	score_8192	score_10240	score_12288	score_14336	score_16384
code	142	10240	2.64826	1.27056	2.629814	2.352289	3.457037
code	143	10240	3.861129	1.673256	2.98817	2.500325	4.185936
code	144	10240	3.210508	1.419583	3.014434	2.418435	4.108932
code	145	10240	7.080276	0.657169	1.788084	2.302681	5.636666
code	146	10240	5.250153	1.186471	2.740663	2.80199	4.470915
code	147	10240	6.335704	0.867093	1.362197	2.017518	4.735373
code	148	10240	3.492609	1.281422	3.106895	2.70317	4.604198
code	149	10240	1.989242	1.239626	2.146404	1.954627	3.388362
code	150	10240	3.950707	1.916993	3.286247	3.148587	4.603247
code	151	10240	3.941319	1.361232	2.735171	2.64353	4.425749
code	152	10240	5.353333	1.696739	3.23199	3.335437	4.93486
code	153	10240	6.820618	0.300632	0.620189	1.156509	4.995663
code	154	10240	5.726978	0.367732	1.096522	1.861149	5.074759
code	155	10240	4.325262	1.370665	3.042249	2.887989	4.704237
code	156	10240	4.45166	2.00116	4.451321	3.5513	4.098663
code	157	10240	5.358765	3.079258	5.166344	4.522705	5.271301
code	158	10240	3.869022	2.459736	4.475698	3.578027	4.421589
code	159	10240	3.40327	1.154473	2.544309	2.351465	3.791396
code	160	10240	6.048574	0.317791	0.676886	1.732745	4.521592
code	161	10240	5.372223	1.479666	2.608187	2.821398	4.210692
code	162	10240	4.214894	2.847513	5.043155	3.881091	4.801406
code	163	10240	5.540656	1.182184	2.035479	2.35293	4.717067
code	164	10240	4.491529	1.864777	4.635153	3.467926	4.022476
code	165	10240	4.732719	3.119272	5.482654	4.341375	5.330048
code	166	10240	3.628844	1.599361	2.917565	2.591393	4.144247
code	167	10240	4.921836	1.884722	3.926464	3.478338	4.815576
code	168	10240	2.813094	1.391747	2.786791	2.152805	3.834888
code	169	10240	3.39596	1.818763	4.292166	3.287791	4.745316
code	170	10240	4.758114	3.183124	5.014636	4.176787	4.963151
code	171	10240	5.98813	1.271	2.177158	2.789525	4.608778
code	172	10240	5.30717	1.728962	3.714215	3.351908	4.668457
code	173	10240	4.853844	3.060218	5.23036	4.321356	4.998869
code	174	10240	4.627879	1.564806	2.70104	2.752973	4.253788
code	175	10240	4.510126	1.378229	2.4165	2.376647	3.893919
code	176	10240	4.41309	2.056759	4.506615	3.405209	4.572417
code	177	10240	4.204041	1.345978	2.808877	2.405205	4.019472
code	178	10240	3.414718	1.917398	3.943581	3.176145	4.117598
code	179	10240	4.598221	1.82207	3.990327	3.414121	4.643696
code	180	10240	6.337492	0.648707	1.200893	1.624516	4.212772
code	181	10240	4.424732	1.851746	4.395103	3.373169	3.980148
code	182	10240	5.259624	0.603979	1.000926	1.153273	3.989924
code	183	10240	4.904973	1.362062	2.869407	3.026587	4.789299
code	184	10240	6.232519	1.35312	2.485374	3.04167	4.763729
code	185	10240	4.682291	3.133893	5.479641	4.384726	5.040298
code	186	10240	5.359794	2.407643	4.679383	3.871789	5.037857
code	187	10240	5.359402	2.096854	3.792144	3.999481	5.429896
code	188	10240	4.289236	3.057658	5.312638	3.833798	4.7642
code	189	10240	3.022125	1.266652	2.870732	2.422881	3.656834
code	190	10240	4.046303	2.825554	4.55458	3.852514	4.567746
code	191	10240	3.837978	1.181003	2.039174	1.748209	3.971147
code	192	10240	3.451669	1.195151	2.648589	2.431993	3.651622
code	193	10240	5.955855	1.308769	2.286315	2.713475	4.605699
code	194	10240	3.708979	1.853367	3.43867	2.683385	4.127769
code	195	10240	3.838093	1.666782	3.559552	2.899375	4.062076
code	196	10240	2.476699	1.091265	2.074105	2.109624	3.539322
code	197	10240	5.895643	1.746689	4.058121	3.857872	4.755838
code	198	10240	4.263797	1.727596	3.381183	3.059659	4.343783
code	199	10240	5.723454	1.542418	2.841166	2.959349	4.365192
math	0	12288	2.505472	2.074242	0.285138	1.762051	3.385601
math	1	12288	2.017986	1.704467	0.4261	1.606567	3.035019
math	2	12288	5.742142	4.010803	0.939956	2.069728	3.514731
math	3	12288	5.273207	3.911025	1.077609	2.885916	4.518713
math	4	12288	2.123609	1.65092	0.238086	1.633677	2.859255
math	5	12288	4.492805	3.149177	0.739608	2.144469	3.745604
math	6	12288	5.832075	3.249553	1.063701	3.143673	4.707333
math	7	12288	1.768538	1.522114	0.296482	1.542426	3.094577
math	8	12288	6.304347	4.692596	1.23361	2.9779	4.124491
math	9	12288	4.173025	3.009151	0.663471	2.608033	3.973925
math	10	12288	1.376166	1.272178	0.194013	1.228806	3.403519
math	11	12288	2.519542	2.085848	0.305002	1.439007	3.351979
math	12	12288	1.973568	1.702921	0.304822	1.58419	3.24108
math	13	12288	6.475875	3.685814	0.643545	1.701842	3.436817
math	14	12288	2.410895	1.804163	0.275348	1.634695	3.296593
math	15	12288	1.994632	1.737788	0.202702	1.341177	3.049938
math	16	12288	4.661415	3.674994	0.611817	1.854684	3.781926
math	17	12288	1.670083	1.458008	0.129927	1.387601	3.218903
math	18	12288	6.016405	2.427029	0.489047	1.647694	2.746974
math	19	12288	2.160962	1.644614	0.129445	1.611291	3.284115
math	20	12288	3.238414	2.403554	0.610262	2.236299	3.689651
math	21	12288	2.122629	1.68504	0.236884	1.332098	3.135807
math	22	12288	3.365597	2.793809	0.334529	1.578646	3.404667
math	23	12288	5.63432	3.238562	0.979262	3.125795	4.674693
math	24	12288	2.762848	2.20351	0.243207	1.921583	3.591007
math	25	12288	3.233177	2.631162	0.421962	1.371194	3.260736
math	26	12288	6.169058	3.760712	0.802565	2.013637	3.601931
math	27	12288	5.456933	3.534168	0.772615	2.034264	3.311871
math	28	12288	2.622228	2.35321	0.39263	1.59924	3.243618
math	29	12288	3.816981	2.67756	0.59235	1.777688	3.402248
math	30	12288	2.37477	2.051656	0.268512	1.475272	3.327392
math	31	12288	3.471329	2.826643	0.540886	2.05317	3.783347
math	32	12288	5.622521	4.145859	0.912016	2.053964	3.318212
math	33	12288	1.992577	1.718496	0.22929	1.443462	2.97283
math	34	12288	6.181806	3.779491	0.823922	1.927042	3.619321
math	35	12288	5.282814	4.0167	1.017219	2.858271	4.640309
math	36	12288	5.613004	3.329855	0.851318	2.47036	4.586902
math	37	12288	5.874201	3.992447	1.060787	2.18258	3.509446
math	38	12288	6.906502	3.666536	0.72295	1.884502	3.888397
